index,x,y,z
0,-12.535653747625,-4.253212984657,0.789346000000
1,-12.544528891441,-4.272021821399,0.789346000000
2,-12.550715808235,-4.287558838005,0.789346000000
3,-12.558042394690,-4.310995185738,0.789346000000
4,-12.558982143737,-4.314737296157,0.789346000000
5,-12.563921168441,-4.343027323661,0.789346000000
6,-12.564947872224,-4.362900126508,0.789346000000
7,-12.561801599326,-4.396731546074,0.789346000000
8,-12.558042332376,-4.413904243252,0.789346000000
9,-12.553473812235,-4.429516313263,0.789346000000
10,-12.550950111453,-4.436898807192,0.789346000000
11,-12.544528853094,-4.453334374973,0.789346000000
12,-12.535653747625,-4.472587268359,0.789346000000
