index,x,y,z
0,-12.537466567062,-3.913101672134,0.789346000000
1,-12.524901085360,-3.938671416985,0.789346000000
2,-12.512896976551,-3.980101351722,0.789346000000
3,-12.507788845142,-4.022874055256,0.789346000000
4,-12.507788845142,-4.104300609391,0.789346000000
5,-12.507788845142,-4.142954459992,0.789346000000
6,-12.507794291021,-4.148075879366,0.789346000000
7,-12.510085965259,-4.185410328685,0.789346000000
8,-12.522693702318,-4.227549362537,0.789346000000
9,-12.535653747625,-4.253212984657,0.789346000000
