index,x,y,z
0,-12.535653747625,-4.472587268359,0.789346000000
1,-12.522693702318,-4.499114922081,0.789346000000
2,-12.511402922422,-4.540389934887,0.789346000000
3,-12.507788845142,-4.583300376059,0.789346000000
4,-12.506256405720,-4.623100883215,0.789346000000
5,-12.506257464153,-4.659865963040,0.789346000000
6,-12.506256405720,-4.703663125534,0.789346000000
7,-12.510085965259,-4.745911705053,0.789346000000
8,-12.522693702318,-4.787258476071,0.789346000000
9,-12.544995232894,-4.824615201937,0.789346000000
10,-12.571635472874,-4.857032561224,0.789346000000
11,-12.605272139516,-4.885208449331,0.789346000000
12,-12.641868832822,-4.906197729316,0.789346000000
13,-12.684116486124,-4.917230555974,0.789346000000
14,-12.725662942266,-4.921367374870,0.789346000000
15,-12.766752209617,-4.921367374870,0.789346000000
16,-12.810129966518,-4.921367374870,0.789346000000
17,-12.918948039106,-4.921367374870,0.789346000000
18,-13.042148550215,-4.921367374870,0.789346000000
19,-13.142652543061,-4.921396930188,0.789346000000
20,-13.244305853663,-4.921367374870,0.789346000000
21,-13.484651643983,-4.921367374870,0.789346000000
22,-13.704858490516,-4.921367374870,0.789346000000
23,-13.805827116182,-4.921367374870,0.789346000000
24,-13.843032502989,-4.921367374870,0.789346000000
25,-13.889518955599,-4.913409626984,0.789346000000
26,-13.925955630611,-4.901249867703,0.789346000000
27,-13.965419372926,-4.879693930795,0.789346000000
28,-13.998258566772,-4.857032561224,0.789346000000
29,-14.027441336645,-4.824615201937,0.789346000000
30,-14.048583854828,-4.785402155392,0.789346000000
31,-14.059968287696,-4.744562761295,0.789346000000
32,-14.065688504343,-4.662454052089,0.789346000000
33,-14.066127726230,-4.583300376059,0.789346000000
