index,x,y,z
0,-13.954982798620,-4.394846898661,0.789346000000
1,-13.966996058405,-4.401122330457,0.789346000000
2,-13.980437047627,-4.407073864649,0.789346000000
3,-14.006991200146,-4.415868044532,0.789346000000
4,-14.027302907037,-4.420175813786,0.789346000000
5,-14.059870793080,-4.423029814080,0.789346000000
6,-14.092674388121,-4.421002384464,0.789346000000
7,-14.115348473166,-4.416665631666,0.789346000000
8,-14.128576190834,-4.412966357995,0.789346000000
9,-14.152479389561,-4.403913425288,0.789346000000
10,-14.176402356140,-4.391411739602,0.789346000000
