index,x,y,z,s,tx,ty,tz,yaw
0,-14.176402356,-4.39141174,0.789346,0,-0.901124702,0.433559998,0,2.693152998
1,-14.201968283,-4.379111152,0.789346,0.028371131,-0.933083009,0.359661087,0,2.773688004
2,-14.242729054,-4.365845812,0.789346,0.071236148,-0.982306547,0.187280131,0,2.953200102
3,-14.285901705,-4.363108956,0.789346,0.114495461,-0.999453213,0.03306471,0,3.108521916
4,-14.325456536,-4.363108956,0.789346,0.154050292,-1,0,0,3.141592654
5,-14.365734931,-4.363108956,0.789346,0.194328687,-1,0,0,3.141592654
6,-14.402877882,-4.363108956,0.789346,0.231471638,-0.996974019,0.077735488,0,3.063778662
7,-14.44508578,-4.356921857,0.789346,0.274130598,-0.972966683,0.230945521,0,2.908543291
8,-14.485846551,-4.343415329,0.789346,0.317070868,-0.924468333,0.381258838,0,2.75043505
9,-14.511171291,-4.329667613,0.789346,0.345886525,-0.862960195,0.50527191,0,2.611895628
10,-14.525237033,-4.320351804,0.789346,0.362757489,-0.807019023,0.590525441,0,2.509882879
11,-14.548193495,-4.302577108,0.789346,0.3917909,-0.787202657,0.616694396,0,2.477056071
12,-14.550587003,-4.300492643,0.789346,0.394964836,-0.705282262,0.708926604,0,2.353617549
13,-14.57616555,-4.274460515,0.789346,0.431460504,-0.67132928,0.741159226,0,2.306797176
14,-14.588021737,-4.259164044,0.789346,0.45081383,-0.536310068,0.844021037,0,2.136855484
15,-14.608327245,-4.223845864,0.789346,0.491553092,-0.469292347,0.88304286,0,2.059285554
16,-14.613485192,-4.211250792,0.789346,0.505163391,-0.308321118,0.951282339,0,1.884223991
17,-14.62095126,-4.184896204,0.789346,0.532555114,-0.210518006,0.97758998,0,1.782901137
18,-14.623095383,-4.166623609,0.789346,0.550953076,-0.089306743,0.99600417,0,1.660222211
19,-14.623881246,-4.152219179,0.789346,0.565378927,-0.027941426,0.999609562,0,1.598741389
20,-14.623767045,-4.142594774,0.789346,0.57500401,0.00391709,0.999992328,0,1.566879227
21,-14.623767045,-4.123064789,0.789346,0.594533995,0,1,0,1.570796327
22,-14.623767045,-4.102791292,0.789346,0.614807492,0,1,0,1.570796327
23,-14.623767045,-4.067110605,0.789346,0.650488178,0,1,0,1.570796327
24,-14.623767045,-4.024379131,0.789346,0.693219653,0.043958801,0.999033345,0,1.526823356
25,-14.620135092,-3.984568728,0.789346,0.733195386,0.235796272,0.97180251,0,1.332758464
26,-14.599303097,-3.923554271,0.789346,0.79766814,0.451948763,0.892043898,0,1.10184759
27,-14.564750145,-3.87525146,0.789346,0.857057264,0.679397438,0.733770483,0,0.823855191
28,-14.51931847,-3.837168372,0.789346,0.91633929,0.776718022,0.629848485,0,0.681358125
29,-14.513531501,-3.833717745,0.789346,0.923076934,0.890272973,0.455427308,0,0.472852129
30,-14.488186848,-3.821242705,0.789346,0.951325439,0.927706511,0.373310366,0,0.382574804
31,-14.446178376,-3.806614755,0.789346,0.995807892,0.977769265,0.209683725,0,0.211251483
32,-14.403419753,-3.803064306,0.789346,1.038713667,0.999083954,0.042793142,0,0.042806214
33,-14.36328666,-3.803064306,0.789346,1.07884676,1,0,0,0
34,-14.323341105,-3.803064306,0.789346,1.118792315,1,0,0,0
35,-14.283208011,-3.803064306,0.789346,1.158925409,0.998263041,0.058914359,0,0.058948493
36,-14.240824464,-3.798194432,0.789346,1.201587813,0.978566188,0.205932552,0,0.20741659
37,-14.199378606,-3.785422982,0.789346,1.244956801,0.936778229,0.349923634,0,0.357489583
38,-14.173498387,-3.773045486,0.789346,1.273644571,0.902134222,0.431455497,0,0.446105549
