index,x,y,z,s,tx,ty,tz,yaw
0,-13.952718811,-3.77131911,0.789346,0,0.909074554,-0.416633478,0,-0.429738923
1,-13.925955631,-3.783584811,0.789346,0.029440028,0.936504798,-0.350654764,0,-0.35827017
2,-13.885826339,-3.796365606,0.789346,0.071555449,0.9792561,-0.202626482,0,-0.2040393
3,-13.843522197,-3.800641837,0.789346,0.11407517,0.997505627,-0.07058699,0,-0.070645739
4,-13.803814337,-3.802169062,0.789346,0.153812389,0.999850835,-0.017271579,0,-0.017272438
5,-13.764491539,-3.802007025,0.789346,0.19313552,1,0,0,0
6,-13.722385728,-3.802169062,0.789346,0.235241643,1,0,0,0
7,-13.661033714,-3.802007025,0.789346,0.296593871,0.999999588,0.0009075,0,0.0009075
8,-13.543832108,-3.802007025,0.789346,0.413795477,1,0,0,0
9,-13.481654731,-3.802007025,0.789346,0.475972855,1,0,0,0
10,-13.402970085,-3.802007025,0.789346,0.554657501,1,0,0,0
11,-13.309142395,-3.802007025,0.789346,0.64848519,1,0,0,0
12,-13.185050688,-3.802007025,0.789346,0.772576897,1,0,0,0
13,-13.112424387,-3.802007025,0.789346,0.845203198,1,0,0,0
14,-13.043498637,-3.802007025,0.789346,0.914128948,1,0,0,0
15,-12.988487474,-3.802007025,0.789346,0.969140111,1,0,0,0
16,-12.910713141,-3.802007025,0.789346,1.046914445,1,0,0,0
17,-12.844103256,-3.802007025,0.789346,1.113524329,1,0,0,0
18,-12.783088603,-3.802007025,0.789346,1.174538982,1,0,0,0
19,-12.728619972,-3.802007025,0.789346,1.229007613,1,0,0,0
