index,x,y,z,s,tx,ty,tz,yaw
0,-12.535653748,-4.472587268,0.789346,0,0.438963269,-0.898505007,0,-1.116351819
1,-12.522693702,-4.499114922,0.789346,0.029524214,0.336774659,-0.941585274,0,-1.227306974
2,-12.511402922,-4.540389935,0.789346,0.072315666,0.174336601,-0.984686117,0,-1.395564315
3,-12.507788845,-4.583300376,0.789346,0.115378034,0.062102814,-0.998069757,0,-1.508653524
4,-12.506256406,-4.623100883,0.789346,0.155208032,0.019996905,-0.999800042,0,-1.550798089
5,-12.506257464,-4.659865963,0.789346,0.191973111,0,-1,0,-1.570796327
6,-12.506256406,-4.703663126,0.789346,0.235770274,-0.044449812,-0.999011619,0,-1.615260789
7,-12.510085965,-4.745911705,0.789346,0.278192061,-0.192934956,-0.981211548,0,-1.764948753
8,-12.522693702,-4.787258476,0.789346,0.321418332,-0.405458812,-0.914113315,0,-1.988277022
9,-12.544995233,-4.824615202,0.789346,0.36492561,-0.574248849,-0.818680804,0,-2.182482665
10,-12.571635473,-4.857032561,0.789346,0.406884966,-0.705253729,-0.70895499,0,-2.353577301
11,-12.60527214,-4.885208449,0.789346,0.450763275,-0.819221968,-0.573476562,0,-2.530849335
12,-12.641868833,-4.906197729,0.789346,0.492951755,-0.926501031,-0.376292227,0,-2.755801534
13,-12.684116486,-4.917230556,0.789346,0.536616243,-0.984005306,-0.178139153,0,-2.962497621
14,-12.725662942,-4.921367375,0.789346,0.578368144,-0.998749303,-0.049998291,0,-3.091573507
15,-12.76675221,-4.921367375,0.789346,0.619457411,-1,0,0,3.141592654
16,-12.810129967,-4.921367375,0.789346,0.662835168,-1,0,0,3.141592654
17,-12.918948039,-4.921367375,0.789346,0.771653241,-1,0,0,3.141592654
18,-13.04214855,-4.921367375,0.789346,0.894853752,-0.999999991,-0.000132118,0,-3.141460536
19,-13.142652543,-4.92139693,0.789346,0.995357749,-1,0,0,3.141592654
20,-13.244305854,-4.921367375,0.789346,1.097011064,-0.999999996,0.000086419,0,3.141506234
21,-13.484651644,-4.921367375,0.789346,1.337356855,-1,0,0,3.141592654
22,-13.704858491,-4.921367375,0.789346,1.557563701,-1,0,0,3.141592654
23,-13.805827116,-4.921367375,0.789346,1.658532327,-1,0,0,3.141592654
24,-13.843032503,-4.921367375,0.789346,1.695737714,-0.995509947,0.094656985,0,3.046793742
25,-13.889518956,-4.913409627,0.789346,1.742900369,-0.971810027,0.235765289,0,2.903586672
26,-13.925955631,-4.901249868,0.789346,1.781312489,-0.913891175,0.405959259,0,2.723564424
27,-13.965419373,-4.879693931,0.789346,1.826279648,-0.853112851,0.521726425,0,2.592719275
28,-13.998258567,-4.857032561,0.789346,1.8661789,-0.747719959,0.664014204,0,2.415418011
29,-14.027441337,-4.824615202,0.789346,1.909796778,-0.574872166,0.818243236,0,2.183244236
30,-14.048583855,-4.785402155,0.789346,1.954346403,-0.376433141,0.926443787,0,1.956739544
31,-14.059968288,-4.744562761,0.789346,1.996742882,-0.137793807,0.990460937,0,1.709029953
32,-14.065688504,-4.662454052,0.789346,2.079050603,-0.038167304,0.999271363,0,1.608972904
33,-14.066127726,-4.583300376,0.789346,2.158205498,-0.005548891,0.999984605,0,1.576345246
