index,x,y,z,s,tx,ty,tz,yaw
0,-12.535653748,-4.253212985,0.789346,0,-0.55908951,-0.829107303,0,-2.164083563
1,-12.553977576,-4.280386487,0.789346,0.032774409,-0.609658735,-0.792664006,0,-2.226426317
2,-12.57226231,-4.30081058,0.789346,0.060187456,-0.729924457,-0.683527824,0,-2.389007752
3,-12.602088946,-4.325439724,0.789346,0.098868497,-0.829557214,-0.558421731,0,-2.549110619
4,-12.639685438,-4.346196889,0.789346,0.141814464,-0.916390181,-0.400286193,0,-2.729763525
5,-12.678392656,-4.358769764,0.789346,0.182512447,-0.96697409,-0.254874695,0,-2.883874538
6,-12.702836994,-4.362842354,0.789346,0.207293724,-0.993876734,-0.110494517,0,-3.030872054
7,-12.726712544,-4.364141741,0.789346,0.231204607,-0.998522332,-0.054342916,0,-3.087222955
