index,x,y,z,s,tx,ty,tz,yaw
0,-13.954982799,-4.394846899,0.789346,0,-0.886353441,-0.463009263,0,-2.660205348
1,-13.966996058,-4.40112233,0.789346,0.013553577,-0.901399701,-0.432987966,0,-2.693787699
2,-13.980437048,-4.407073865,0.789346,0.028253269,-0.938261954,-0.345925578,0,-2.788367567
3,-14.0069912,-4.415868045,0.789346,0.056225767,-0.963073274,-0.269239425,0,-2.868989446
4,-14.027302907,-4.420175814,0.789346,0.076989252,-0.990952897,-0.134210116,0,-3.00697633
5,-14.059870793,-4.423029814,0.789346,0.10968195,-0.999920072,-0.012643198,0,-3.128949118
6,-14.092674388,-4.421002384,0.789346,0.142548138,-0.993484348,0.113968638,0,3.027375842
7,-14.115348473,-4.416665632,0.789346,0.165633232,-0.975852936,0.218428587,0,2.921388771
8,-14.128576191,-4.412966358,0.789346,0.179368484,-0.945776975,0.324816739,0,2.8107747
9,-14.15247939,-4.403913425,0.789346,0.20492858,-0.911687061,0.410885267,0,2.718167783
10,-14.176402356,-4.39141174,0.789346,0.23192118,-0.886278693,0.463152327,0,2.660043934
