index,x,y,z,s,tx,ty,tz,yaw
0,-12.535653748,-4.253212985,0.789346,0,-0.426738672,-0.904374981,0,-2.011679855
1,-12.544528891,-4.272021821,0.789346,0.020797608,-0.401618779,-0.915806943,0,-1.984080088
2,-12.550715808,-4.287558838,0.789346,0.037521149,-0.327602447,-0.944815663,0,-1.904561194
3,-12.558042395,-4.310995186,0.789346,0.062076012,-0.290988631,-0.956726511,0,-1.86605635
4,-12.558982144,-4.314737296,0.789346,0.065934317,-0.180512501,-0.98357269,0,-1.752303813
5,-12.563921168,-4.343027324,0.789346,0.094652249,-0.122926396,-0.99241579,0,-1.694034435
6,-12.564947872,-4.362900127,0.789346,0.114551556,0.039436755,-0.999222069,0,-1.531349343
7,-12.561801599,-4.396731546,0.789346,0.14852896,0.134167687,-0.990958643,0,-1.436222819
8,-12.558042332,-4.413904243,0.789346,0.166108312,0.246195421,-0.96922021,0,-1.322043443
9,-12.553473812,-4.429516313,0.789346,0.182375091,0.294730027,-0.955580562,0,-1.271623343
10,-12.550950111,-4.436898807,0.789346,0.190177032,0.351577774,-0.936158677,0,-1.211540385
11,-12.544528853,-4.453334375,0.789346,0.207822441,0.393947781,-0.919132823,0,-1.165873553
12,-12.535653748,-4.472587268,0.789346,0.229022474,0.418636398,-0.908153933,0,-1.138853037
