index,x,y,z,s,tx,ty,tz,yaw
0,-14.066127726,-4.583300376,0.789346,0,-0.091252288,0.995827806,0,1.662175734
1,-14.067804304,-4.565004042,0.789346,0.01837299,-0.128359084,0.991727758,0,1.699510525
2,-14.071681614,-4.540389935,0.789346,0.04329061,-0.189308533,0.981917654,0,1.761254224
3,-14.07636641,-4.520593556,0.789346,0.063633764,-0.272265339,0.962222212,0,1.846542855
4,-14.083360575,-4.499114921,0.789346,0.08622248,-0.392859231,0.919598621,0,1.974535079
5,-14.100613447,-4.463836481,0.789346,0.125493716,-0.536811358,0.843702297,0,2.137449527
6,-14.127643166,-4.429516312,0.789346,0.169179866,-0.660940099,0.750438662,0,2.292867131
7,-14.144688701,-4.413792952,0.789346,0.192369828,-0.752948564,0.658079372,0,2.423327554
8,-14.15444625,-4.406090334,0.789346,0.204801243,-0.817027302,0.576598984,0,2.527032778
9,-14.176402356,-4.39141174,0.789346,0.231212069,-0.831329774,0.555779459,0,2.552292376
