index,x,y,z,s,tx,ty,tz,yaw
0,-14.173498387,-3.773045486,0.789346,0,0.834632156,0.550807738,0,0.583331706
1,-14.149719843,-3.757353056,0.789346,0.028489849,0.794443001,0.607338718,0,0.652706413
2,-14.127643163,-3.737989915,0.789346,0.057854983,0.744828476,0.667255979,0,0.730518581
3,-14.124413844,-3.734682631,0.789346,0.062477387,0.665887205,0.746052432,0,0.84211394
4,-14.111250142,-3.719623361,0.789346,0.082479003,0.627303385,0.778774976,0,0.892710601
5,-14.100613459,-3.705135294,0.789346,0.100452403,0.575955429,0.817481097,0,0.957023912
6,-14.095931229,-3.697880496,0.789346,0.109086949,0.505218937,0.862991209,0,1.041160685
7,-14.086739111,-3.681435786,0.789346,0.127926363,0.455987051,0.88998641,0,1.097315364
8,-14.080401977,-3.667570811,0.789346,0.143170929,0.390342348,0.920669784,0,1.169792916
9,-14.07636641,-3.656970511,0.789346,0.154513423,0.336391069,0.941722384,0,1.227714332
10,-14.073668285,-3.648719929,0.789346,0.163193975,0.258210033,0.966088805,0,1.309627381
11,-14.067804315,-3.624935566,0.789346,0.187690547,0.156347738,0.987702073,0,1.413804501
12,-14.063233008,-3.582796723,0.789346,0.230076617,0.107849261,0.994167258,0,1.46273689
