index,x,y,z,s,tx,ty,tz,yaw
0,-12.728619972,-3.802007025,0.789346,0,0.994518297,-0.104562691,0,-0.104754171
1,-12.682864588,-3.806817702,0.789346,0.046007584,0.978429729,-0.206579925,0,-0.208078189
2,-12.639685438,-3.820784142,0.789346,0.091389303,0.904123436,-0.427271358,0,-0.441472619
3,-12.591411202,-3.850036814,0.789346,0.147835036,0.79185082,-0.610714564,0,-0.656962675
4,-12.556593583,-3.884868695,0.789346,0.19708467,0.650020287,-0.759916855,0,-0.863185194
5,-12.537466567,-3.913101672,0.789346,0.231186631,0.560877304,-0.827898937,0,-0.975351232
