index,x,y,z
0,-14.043487622669,-4.317707880582,0.839346
1,-14.057287033315,-4.322501930648,0.839346
2,-14.072729142833,-4.327047404208,0.839346
3,-14.103244187917,-4.333760222563,0.839346
4,-14.126591734929,-4.337044390601,0.839346
5,-14.164037502375,-4.339209607003,0.839346
6,-14.20176662024,-4.337640380755,0.839346
7,-14.227852650688,-4.334310144784,0.839346
8,-14.243073788529,-4.331472833813,0.839346
9,-14.270585165259,-4.32453401982,0.839346
10,-14.298127955012,-4.314956886276,0.839346
