index,x,y,z
0,-14.296344748695,-3.841906069184,0.839346
1,-14.269039005063,-3.829914521971,0.839346
2,-14.24369963772,-3.815113920371,0.839346
3,-14.239994257606,-3.81258563131,0.839346
4,-14.224893949944,-3.801072553109,0.839346
5,-14.212698268278,-3.78999504197,0.839346
6,-14.207331980131,-3.784447697572,0.839346
7,-14.196802466985,-3.771872544549,0.839346
8,-14.189549681486,-3.761269310974,0.839346
9,-14.184935473911,-3.753162286487,0.839346
10,-14.181853405689,-3.746852061192,0.839346
11,-14.175169723498,-3.728660196764,0.839346
12,-14.170018795842,-3.6964263697,0.839346
