index,x,y,z
0,-12.411620846209,-4.210146413924,0.839346
1,-12.421779889936,-4.224530308771,0.839346
2,-12.428855717105,-4.236412743686,0.839346
3,-12.437222278648,-4.254337562088,0.839346
4,-12.438293568229,-4.257199767759,0.839346
5,-12.443902226351,-4.278838996048,0.839346
6,-12.445032914697,-4.29404119171,0.839346
7,-12.441329562992,-4.319924099609,0.839346
8,-12.436963198204,-4.3330633651,0.839346
9,-12.431670123084,-4.345009194993,0.839346
10,-12.428749295574,-4.35065823258,0.839346
11,-12.421323505599,-4.36323507118,0.839346
12,-12.411068709521,-4.377968538178,0.839346
